rp_fa_code,rp_fa_type,rp_fa,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
53104msto,Sole proprietors and partnerships,"  Tenant-occupied, 1-4 units, major replacements",2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,6.00,7.00,8.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,18.00,19.00,21.00,22.00,23.00,25.00,27.00,29.00,31.00,33.00,35.00,38.00,41.00,45.00,51.00,57.00,63.00,69.00,77.00,89.00,101.00,111.00,123.00,138.00,159.00,184.00,210.00,228.00,241.00,263.00,291.00,318.00,353.00,390.00,426.00,473.00,530.00,583.00,636.00,665.00,714.00,761.00,800.00,826.00,867.00,928.00,984.00,1027.00,1095.00,1195.00,1294.00,1388.00,1434.00,1490.00,1442.00,1467.00,1520.00,1527.00,1558.00,1599.00,1593.00,1621.00
53104mfto,Sole proprietors and partnerships,"  Tenant-occupied, 5+ units, new",61.00,70.00,79.00,88.00,99.00,100.00,91.00,74.00,72.00,79.00,78.00,81.00,90.00,93.00,94.00,98.00,108.00,115.00,124.00,135.00,139.00,152.00,185.00,204.00,211.00,222.00,241.00,248.00,250.00,252.00,259.00,267.00,269.00,276.00,282.00,284.00,285.00,287.00,288.00,295.00,310.00,331.00,350.00,397.00,483.00,561.00,682.00,847.00,1033.00,1262.00,1431.00,1547.00,1718.00,1998.00,2249.00,2549.00,2835.00,3137.00,3362.00,3541.00,3771.00,4098.00,4354.00,4533.00,4601.00,4601.00,4722.00,4800.00,4889.00,4898.00,4997.00,5152.00,5409.00,5904.00,6140.00,6472.00,6692.00,6956.00,7271.00,7726.00,8369.00,9363.00,9911.00,10287.00,10432.00,10644.00,10361.00,10504.00,10782.00,11254.00,12608.00,13431.00
53104amto,Sole proprietors and partnerships,"  Tenant-occupied, 5+ units, additions and alterations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,4.00,6.00,9.00,11.00,13.00,16.00,18.00,21.00,23.00,27.00,29.00,32.00,35.00,39.00,42.00,45.00,48.00,52.00,56.00,60.00,66.00,73.00,82.00,90.00,99.00,109.00,122.00,141.00,158.00,174.00,199.00,228.00,262.00,303.00,341.00,370.00,383.00,397.00,425.00,471.00,523.00,583.00,636.00,681.00,722.00,744.00,793.00,846.00,927.00,997.00,1058.00,1120.00,1203.00,1309.00,1444.00,1559.00,1696.00,1876.00,2020.00,2150.00,2210.00,2248.00,2186.00,2220.00,2292.00,2323.00,2419.00,2545.00,2584.00,2679.00
53104mmto,Sole proprietors and partnerships,"  Tenant-occupied, 5+ units, major replacements",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,3.00,4.00,5.00,7.00,8.00,10.00,11.00,13.00,15.00,17.00,18.00,20.00,22.00,25.00,27.00,30.00,32.00,34.00,37.00,41.00,45.00,50.00,55.00,62.00,69.00,76.00,85.00,97.00,111.00,123.00,135.00,150.00,171.00,197.00,230.00,268.00,312.00,362.00,414.00,480.00,552.00,624.00,702.00,769.00,827.00,892.00,949.00,975.00,1060.00,1132.00,1194.00,1243.00,1311.00,1407.00,1508.00,1586.00,1694.00,1864.00,1990.00,2096.00,2148.00,2209.00,2117.00,2133.00,2189.00,2180.00,2204.00,2243.00,2218.00,2240.00
53104mhto,Sole proprietors and partnerships,"  Tenant-occupied, manufactured homes",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,4.00,4.00,5.00,6.00,7.00,8.00,11.00,13.00,15.00,17.00,19.00,21.00,21.00,21.00,24.00,29.00,33.00,38.00,45.00,60.00,74.00,88.00,104.00,131.00,163.00,193.00,213.00,244.00,280.00,324.00,368.00,397.00,422.00,442.00,460.00,481.00,499.00,517.00,549.00,580.00,603.00,618.00,629.00,705.00,856.00,1026.00,1192.00,1358.00,1528.00,1716.00,1857.00,1953.00,2031.00,2113.00,2332.00,2530.00,2640.00,2702.00,2805.00,2827.00,2843.00,2892.00,2924.00,2994.00,3017.00,3051.00,3060.00
53104acto,Sole proprietors and partnerships,"  Tenant-occupied, acquisition costs",10.00,12.00,13.00,14.00,15.00,15.00,13.00,10.00,10.00,11.00,10.00,10.00,11.00,12.00,11.00,12.00,12.00,13.00,14.00,15.00,16.00,16.00,19.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,21.00,22.00,22.00,21.00,20.00,20.00,20.00,21.00,22.00,24.00,25.00,34.00,53.00,72.00,95.00,122.00,154.00,184.00,203.00,213.00,234.00,262.00,294.00,320.00,333.00,340.00,358.00,400.00,462.00,555.00,657.00,726.00,791.00,824.00,834.00,842.00,879.00,924.00,949.00,984.00,1020.00,1092.00,1187.00,1303.00,1437.00,1543.00,1717.00,1929.00,2252.00,2509.00,2611.00,2513.00,2320.00,2184.00,2039.00,2002.00,2157.00,2338.00,2437.00,2577.00
53104dcto,Sole proprietors and partnerships,"  Tenant-occupied, disposal costs",47.00,55.00,62.00,68.00,73.00,71.00,62.00,48.00,45.00,48.00,47.00,48.00,52.00,53.00,51.00,52.00,56.00,58.00,62.00,67.00,70.00,73.00,85.00,88.00,87.00,87.00,91.00,90.00,89.00,88.00,89.00,91.00,92.00,99.00,100.00,95.00,90.00,90.00,93.00,98.00,105.00,112.00,117.00,158.00,250.00,340.00,452.00,586.00,750.00,917.00,1026.00,1087.00,1210.00,1378.00,1601.00,1802.00,1914.00,1964.00,2019.00,2156.00,2366.00,2707.00,3065.00,3259.00,3437.00,3503.00,3507.00,3497.00,3582.00,3698.00,3772.00,3890.00,4007.00,4266.00,4615.00,5060.00,5573.00,5962.00,6578.00,7312.00,8435.00,9311.00,9665.00,9385.00,8853.00,8491.00,8009.00,7927.00,8592.00,9353.00,9764.00,10316.00
53104e1to,Sole proprietors and partnerships,"  Tenant-occupied, 1-4 units, equipment",3.00,3.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,6.00,7.00,10.00,11.00,12.00,14.00,16.00,17.00,17.00,18.00,19.00,20.00,21.00,23.00,24.00,25.00,25.00,26.00,28.00,29.00,30.00,32.00,35.00,39.00,43.00,48.00,54.00,61.00,71.00,84.00,93.00,102.00,114.00,132.00,154.00,180.00,294.00,495.00,669.00,784.00,869.00,945.00,1067.00,1234.00,1372.00,1467.00,1555.00,1649.00,1759.00,1835.00,1907.00,1955.00,1997.00,2039.00,2126.00,2221.00,2294.00,2319.00,2366.00,2559.00,2741.00,2876.00,2926.00,2907.00,2755.00,2746.00,2849.00,2815.00,2769.00,2766.00,2778.00
53104e5to,Sole proprietors and partnerships,"  Tenant-occupied, 5+ units, equipment",25.00,26.00,28.00,29.00,30.00,31.00,28.00,23.00,23.00,24.00,24.00,26.00,29.00,30.00,31.00,32.00,37.00,43.00,41.00,39.00,40.00,47.00,63.00,82.00,91.00,103.00,123.00,133.00,141.00,148.00,153.00,158.00,168.00,176.00,197.00,207.00,213.00,217.00,224.00,235.00,246.00,258.00,274.00,299.00,332.00,370.00,413.00,460.00,519.00,612.00,725.00,808.00,888.00,993.00,1117.00,1253.00,1395.00,1440.00,1357.00,1301.00,1298.00,1361.00,1464.00,1511.00,1502.00,1492.00,1471.00,1465.00,1473.00,1504.00,1513.00,1525.00,1525.00,1524.00,1527.00,1566.00,1613.00,1648.00,1650.00,1671.00,1795.00,1913.00,1999.00,2027.00,2010.00,1900.00,1891.00,1959.00,1934.00,1900.00,1896.00,1903.00
53108sfto,Nonprofit institutions,"  Tenant-occupied, 1-4 units, new",12.00,13.00,13.00,14.00,15.00,15.00,13.00,11.00,11.00,12.00,12.00,12.00,13.00,14.00,14.00,15.00,17.00,18.00,19.00,21.00,22.00,24.00,29.00,31.00,32.00,33.00,35.00,37.00,37.00,37.00,39.00,40.00,40.00,40.00,41.00,45.00,49.00,54.00,54.00,55.00,58.00,63.00,65.00,69.00,75.00,77.00,83.00,91.00,102.00,116.00,129.00,138.00,153.00,175.00,199.00,223.00,242.00,251.00,253.00,261.00,267.00,278.00,291.00,302.00,313.00,321.00,320.00,321.00,333.00,346.00,358.00,362.00,371.00,379.00,396.00,414.00,436.00,449.00,475.00,518.00,560.00,598.00,605.00,586.00,559.00,546.00,546.00,547.00,574.00,614.00,627.00,653.00
53108asto,Nonprofit institutions,"  Tenant-occupied, 1-4 units, additions and alterations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,4.00,5.00,5.00,6.00,7.00,8.00,9.00,10.00,12.00,13.00,15.00,17.00,20.00,22.00,26.00,30.00,35.00,42.00,49.00,55.00,57.00,61.00,64.00,68.00,73.00,79.00,84.00,89.00,92.00,92.00,94.00,95.00,99.00,105.00,112.00,119.00,128.00,140.00,153.00,161.00,176.00,200.00,225.00,248.00,262.00,275.00,275.00,286.00,303.00,314.00,334.00,360.00,373.00,395.00
53108msto,Nonprofit institutions,"  Tenant-occupied, 1-4 units, major replacements",0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,6.00,6.00,7.00,7.00,8.00,8.00,9.00,10.00,11.00,13.00,14.00,15.00,18.00,20.00,22.00,25.00,28.00,32.00,37.00,42.00,46.00,48.00,53.00,58.00,64.00,71.00,78.00,85.00,95.00,101.00,101.00,102.00,101.00,104.00,108.00,111.00,114.00,119.00,127.00,136.00,143.00,153.00,168.00,183.00,197.00,204.00,213.00,207.00,211.00,219.00,220.00,225.00,232.00,231.00,236.00
53108mfto,Nonprofit institutions,"  Tenant-occupied, 5+ units, new",7.00,8.00,9.00,10.00,11.00,11.00,10.00,8.00,8.00,9.00,9.00,9.00,10.00,10.00,10.00,11.00,12.00,13.00,14.00,15.00,15.00,17.00,20.00,22.00,23.00,24.00,26.00,27.00,27.00,28.00,28.00,29.00,29.00,30.00,31.00,32.00,32.00,33.00,33.00,35.00,37.00,40.00,43.00,49.00,59.00,67.00,81.00,99.00,120.00,146.00,165.00,178.00,198.00,229.00,258.00,291.00,324.00,358.00,383.00,403.00,428.00,465.00,493.00,513.00,520.00,520.00,531.00,535.00,541.00,541.00,550.00,561.00,583.00,631.00,650.00,679.00,696.00,718.00,743.00,784.00,844.00,937.00,982.00,1011.00,1019.00,1036.00,1006.00,1017.00,1039.00,1078.00,1199.00,1266.00
53108amto,Nonprofit institutions,"  Tenant-occupied, 5+ units, additions and alterations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,5.00,5.00,5.00,6.00,6.00,7.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,15.00,17.00,19.00,22.00,25.00,29.00,33.00,37.00,41.00,42.00,44.00,47.00,52.00,57.00,64.00,70.00,75.00,78.00,78.00,80.00,82.00,85.00,88.00,91.00,94.00,99.00,106.00,114.00,121.00,129.00,141.00,151.00,160.00,163.00,165.00,159.00,161.00,165.00,166.00,172.00,180.00,182.00,187.00
53108mmto,Nonprofit institutions,"  Tenant-occupied, 5+ units, major replacements",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,5.00,5.00,6.00,7.00,8.00,8.00,9.00,11.00,12.00,13.00,15.00,16.00,19.00,22.00,25.00,29.00,34.00,40.00,45.00,53.00,60.00,68.00,77.00,84.00,88.00,89.00,90.00,88.00,91.00,93.00,95.00,97.00,101.00,107.00,112.00,116.00,122.00,133.00,141.00,147.00,150.00,154.00,146.00,147.00,150.00,149.00,150.00,152.00,149.00,150.00
53108acto,Nonprofit institutions,"  Tenant-occupied, acquisition costs",1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,5.00,5.00,6.00,7.00,9.00,11.00,13.00,16.00,20.00,23.00,26.00,27.00,30.00,34.00,38.00,41.00,43.00,44.00,46.00,51.00,58.00,70.00,82.00,91.00,99.00,103.00,99.00,91.00,87.00,84.00,81.00,79.00,79.00,84.00,90.00,100.00,112.00,122.00,138.00,158.00,187.00,209.00,217.00,207.00,189.00,177.00,166.00,163.00,176.00,191.00,200.00,211.00
53108dcto,Nonprofit institutions,"  Tenant-occupied, disposal costs",7.00,8.00,9.00,9.00,10.00,10.00,9.00,7.00,6.00,7.00,7.00,7.00,8.00,8.00,7.00,8.00,8.00,8.00,9.00,9.00,10.00,10.00,11.00,12.00,11.00,11.00,12.00,12.00,12.00,12.00,12.00,12.00,13.00,13.00,14.00,15.00,15.00,16.00,18.00,20.00,22.00,24.00,26.00,31.00,41.00,51.00,63.00,78.00,97.00,116.00,129.00,137.00,154.00,176.00,206.00,232.00,247.00,252.00,258.00,275.00,300.00,341.00,385.00,408.00,430.00,437.00,419.00,384.00,363.00,349.00,334.00,323.00,319.00,335.00,357.00,393.00,440.00,477.00,534.00,602.00,703.00,779.00,806.00,774.00,721.00,689.00,651.00,646.00,701.00,765.00,800.00,846.00
53108e1to,Nonprofit institutions,"  Tenant-occupied, 1-4 units, equipment",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,14.00,17.00,19.00,20.00,23.00,26.00,31.00,36.00,50.00,73.00,93.00,105.00,114.00,123.00,137.00,156.00,173.00,173.00,162.00,154.00,150.00,145.00,141.00,136.00,132.00,129.00,129.00,131.00,131.00,130.00,130.00,138.00,145.00,151.00,152.00,150.00,142.00,141.00,145.00,143.00,140.00,140.00,140.00
53108e5to,Nonprofit institutions,"  Tenant-occupied, 5+ units, equipment",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,5.00,5.00,4.00,4.00,5.00,7.00,9.00,10.00,11.00,13.00,15.00,15.00,16.00,17.00,17.00,18.00,19.00,22.00,23.00,23.00,24.00,25.00,26.00,27.00,28.00,30.00,33.00,36.00,41.00,45.00,50.00,57.00,67.00,79.00,89.00,97.00,109.00,122.00,137.00,153.00,158.00,151.00,146.00,148.00,157.00,171.00,178.00,178.00,178.00,168.00,154.00,142.00,135.00,126.00,120.00,113.00,107.00,102.00,100.00,99.00,98.00,96.00,94.00,99.00,104.00,107.00,107.00,105.00,99.00,98.00,101.00,99.00,97.00,96.00,96.00
53108osto,Nonprofit institutions,  Other residential structures,21.00,23.00,26.00,27.00,30.00,31.00,28.00,23.00,22.00,24.00,24.00,25.00,28.00,29.00,29.00,30.00,33.00,35.00,37.00,39.00,41.00,45.00,54.00,59.00,60.00,61.00,65.00,67.00,68.00,69.00,72.00,75.00,77.00,75.00,79.00,83.00,87.00,95.00,103.00,113.00,127.00,144.00,158.00,173.00,189.00,196.00,208.00,221.00,239.00,260.00,281.00,296.00,322.00,358.00,394.00,431.00,458.00,471.00,471.00,481.00,488.00,506.00,527.00,549.00,570.00,589.00,590.00,589.00,614.00,638.00,659.00,668.00,688.00,710.00,751.00,799.00,854.00,893.00,959.00,1058.00,1150.00,1238.00,1279.00,1286.00,1275.00,1273.00,1296.00,1334.00,1455.00,1616.00,1705.00,1840.00
