dig_code,dig_desc,sig_code_12,sig_code_07,sig_desc_07,sig_desc_12
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
3219A0,All other wood product manufacturing,321,3210,Wood products,Wood products
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,325,3250,Chemical products,Chemical products
3259A0,All other chemical product and preparation manufacturing,325,3250,Chemical products,Chemical products
33131B,Aluminum product manufacturing from purchased aluminum,331,3310,Primary metals,Primary metals
33211A,"All other forging, stamping, and sintering",332,3320,Fabricated metal products,Fabricated metal products
33291A,Valve and fittings other than plumbing,332,3320,Fabricated metal products,Fabricated metal products
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332,3320,Fabricated metal products,Fabricated metal products
33329A,Other industrial machinery manufacturing,333,3330,Machinery,Machinery
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333,3330,Machinery,Machinery
33391A,Pump and pumping equipment manufacturing,333,3330,Machinery,Machinery
33399A,Other general purpose machinery manufacturing,333,3330,Machinery,Machinery
33399B,Fluid power process machinery,333,3330,Machinery,Machinery
33441A,Other electronic component manufacturing,334,3340,Computer and electronic products,Computer and electronic products
33451A,"Watch, clock, and other measuring and controlling device manufacturing",334,3340,Computer and electronic products,Computer and electronic products
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
33641A,Propulsion units and parts for space vehicles and guided missiles,3364OT,336O,Other transportation equipment,Other transportation equipment
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337,3370,Furniture and related products,Furniture and related products
48A000,Scenic and sightseeing transportation and support activities for transportation,487OS,487S,Other transportation and support activities ,Other transportation and support activities
5111A0,"Directory, mailing list, and other publishers",511,5110,Publishing industries (including software),"Publishing industries, except internet (includes software)"
517A00,"Satellite, telecommunications resellers, and all other telecommunications",513,5130,Broadcasting and telecommunications,Broadcasting and telecommunications
5191A0,"News syndicates, libraries, archives and all other information services",514,5140,Information and data processing services,"Data processing, internet publishing, and other information services"
522A00,Nondepository credit intermediation and related activities,521CI,52XX,Federal Reserve banks,"Federal Reserve banks, credit intermediation, and related activities"
523A00,Securities and commodity contracts intermediation and brokerage,523,5230,"Securities, commodity contracts, and investments","Securities, commodity contracts, and investments"
52A000,Monetary authorities and depository credit intermediation,521CI,52XX,Federal Reserve banks,"Federal Reserve banks, credit intermediation, and related activities"
531ORE,Other real estate,ORE,5310,Real estate,Other real estate
532A00,General and consumer goods rental,532RL,5320,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets
54151A,"Other computer related services, including facilities management",5415,5415,Computer systems design and related services,Computer systems design and related services
5416A0,Environmental and other technical consulting services,5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
5419A0,"All other miscellaneous professional, scientific, and technical services ",5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
611A00,"Junior colleges, colleges, universities, and professional schools",61,6100,Educational services ,Educational services
611B00,Other educational services,61,6100,Educational services ,Educational services
623A00,Nursing and community care facilities,623,6230,Nursing and residential care facilities,Nursing and residential care facilities
623B00,"Residential mental health, substance abuse, and other residential care facilities",623,6230,Nursing and residential care facilities,Nursing and residential care facilities
624A00,"Community food, housing, and other relief services, including rehabilitation services",624,6240,Social assistance,Social assistance
711A00,Promoters of performing arts and sports and agents for public figures,711AS,711A,"Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities"
722A00,All other food and drinking places,722,7220,Food services and drinking places,Food services and drinking places
813A00,"Grantmaking, giving, and social advocacy organizations",81,8100,"Other services, except government","Other services, except government"
813B00,"Civic, social, professional, and similar organizations",81,8100,"Other services, except government","Other services, except government"
2332D0,Other nonresidential structures,23,2300,Construction,Construction
2332C0,Transportation structures and highways and streets,23,2300,Construction,Construction
331313,Alumina refining and primary aluminum production,331,3310,Primary metals,Primary metals
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,331,3310,Primary metals,Primary metals
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,331,3310,Primary metals,Primary metals
332119,"Metal crown, closure, and other metal stamping (except automotive)",332,3320,Fabricated metal products,Fabricated metal products
332999,Other fabricated metal manufacturing,332,3320,Fabricated metal products,Fabricated metal products
333242,Semiconductor machinery manufacturing,333,3330,Machinery,Machinery
333316,Photographic and photocopying equipment manufacturing,333,3330,Machinery,Machinery
333318,Other commercial and service industry machinery manufacturing,333,3330,Machinery,Machinery
333318,Other commercial and service industry machinery manufacturing,333,3330,Machinery,Machinery
333318,Other commercial and service industry machinery manufacturing,333,3330,Machinery,Machinery
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,333,3330,Machinery,Machinery
333517,Machine tool manufacturing,333,3330,Machinery,Machinery
334118,Computer terminals and other computer peripheral equipment manufacturing,334,3340,Computer and electronic products,Computer and electronic products
33712N,Other household nonupholstered furniture,337,3370,Furniture and related products,Furniture and related products
311224,Soybean and other oilseed processing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
423100,Motor vehicle and motor vehicle parts and supplies,42,4200,Wholesale trade,Wholesale trade
423400,Professional and commercial equipment and supplies,42,4200,Wholesale trade,Wholesale trade
423600,Household appliances and electrical and electronic goods ,42,4200,Wholesale trade,Wholesale trade
423800,"Machinery, equipment, and supplies",42,4200,Wholesale trade,Wholesale trade
423A00,Other durable goods merchant wholesalers,42,4200,Wholesale trade,Wholesale trade
424200,Drugs and druggists’ sundries,42,4200,Wholesale trade,Wholesale trade
424400,Grocery and related product wholesalers ,42,4200,Wholesale trade,Wholesale trade
424700,Petroleum and petroleum products,42,4200,Wholesale trade,Wholesale trade
424A00,Other nondurable goods merchant wholesalers,42,4200,Wholesale trade,Wholesale trade
425000,Wholesale electronic markets and agents and brokers,42,4200,Wholesale trade,Wholesale trade
4200ID,Customs duties,42,4200,Wholesale trade,Wholesale trade
444000,Building material and garden equipment and supplies dealers,4A0,44RT,Retail trade,Other retail
446000,Health and personal care stores,4A0,44RT,Retail trade,Other retail
447000,Gasoline stations,4A0,44RT,Retail trade,Other retail
448000,Clothing and clothing accessories stores,4A0,44RT,Retail trade,Other retail
454000,Nonstore retailers,4A0,44RT,Retail trade,Other retail
4B0000,All other retail,4A0,44RT,Retail trade,Other retail
524113,Direct life insurance carriers,524,5240,Insurance carriers and related activities,Insurance carriers and related activities
5241XX,"Insurance carriers, except direct life",524,5240,Insurance carriers and related activities,Insurance carriers and related activities
